Orden	Palabra	Frec.absoluta	Frec.normalizada
7440	hable	1722	11.28
7451	sucio	1720	11.27
7452	verle	1720	11.27
7460	darío	1717	11.25
7466	fijos	1716	11.24
7467	lavar	1716	11.24
7476	viaja	1714	11.23
7490	citas	1708	11.19
7502	mitos	1706	11.18
7506	cajón	1704	11.16
7518	jamón	1701	11.14
7520	gatos	1700	11.14
7532	linda	1696	11.11
7533	vejez	1696	11.11
7581	dejen	1681	11.01
7583	quitó	1681	11.01
7587	lapso	1680	11.01
7607	paula	1676	10.98
7611	ancha	1673	10.96
7621	soñar	1671	10.95
7624	tonos	1671	10.95
7625	velas	1671	10.95
7640	emite	1665	10.91
7665	ciega	1659	10.87
7668	rioja	1658	10.86
7673	ratos	1656	10.85
7677	actuó	1653	10.83
7703	faena	1644	10.77
7707	feroz	1643	10.76
7711	bruno	1642	10.76
7714	movió	1641	10.75
7718	acude	1638	10.73
7720	girar	1638	10.73
7728	sainz	1637	10.73
7748	darán	1632	10.69
7752	ficha	1631	10.69
7755	apoyó	1629	10.67
7758	pinta	1629	10.67
7766	belga	1627	10.66
7774	cruzó	1624	10.64
7785	multa	1620	10.61
7788	camas	1618	10.60
7796	colmo	1617	10.59
7799	bares	1616	10.59
7802	cobro	1615	10.58
7806	acoso	1614	10.57
7808	tomas	1614	10.57
7812	baños	1612	10.56
7820	plana	1610	10.55
7847	prosa	1604	10.51
7851	haití	1603	10.50
7852	ruina	1603	10.50
7855	besos	1602	10.50
7885	susto	1597	10.46
